numcode,country,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,GDP2021,GDP2022,GDP2023,GDP2024,GDP2025,GDP2026,GDP2027,GDP2028,GDP2029,GDP2030,GDP2031,GDP2032,GDP2033,GDP2034,GDP2035,GDP2036,GDP2037,GDP2038,GDP2039,GDP2040
862,Venezuela,0.18347,0.18582,0.19903,0.20315,0.20903,0.22519,0.23931,0.24493,0.2468,0.23589,0.23503,0.23016,0.2215,0.22469,0.22513,0.23978,0.24837,0.26283,0.24031,0.25585,0.28074,0.29776,0.29858,0.29156,0.30308,0.30248,0.32175,0.3227,0.30343,0.31462,0.3253,0.29649,0.2735,0.32351,0.35689,0.39212,0.42645,0.44896,0.43458,0.42811,0.44599,0.47108,0.478441446,0.485802891,0.507725466,0.52964804,0.551570615,0.57349319,0.595415764,0.617338339,0.639260913,0.663251448,0.687241983,0.711232517,0.735223052,0.759213586,0.783204121,0.807194656,0.83118519,0.855175725,0.879166259,0.903156794,0.927147329,0.951137863,0.975128398,0.999118932,1.023109467,1.047100002,1.071090536,1.095081071
48,Bahrain,0.00444,0.00453,0.00439,0.00749,0.00822,0.01018,0.01167,0.01262,0.01248,0.01341,0.0127,0.01174,0.01249,0.01312,0.01249,0.01264,0.01395,0.01493,0.01498,0.01565,0.01741,0.01857,0.02096,0.02091,0.02173,0.02262,0.02332,0.02444,0.02549,0.02684,0.02751,0.02851,0.03022,0.03233,0.03452,0.03675,0.0398,0.04228,0.04336,0.04524,0.04619,0.04776,0.042610074,0.037460148,0.039181541,0.040902933,0.042624326,0.044345718,0.04606711,0.047788503,0.049509895,0.051947742,0.054385588,0.056823435,0.059261281,0.061699128,0.064136974,0.066574821,0.069012667,0.071450514,0.073888361,0.076326207,0.078764054,0.0812019,0.083639747,0.086077593,0.08851544,0.090953286,0.093391133,0.09582898
368,Iraq,0.49718,0.47023,0.548,0.57196,0.63195,0.71879,0.76536,0.84566,1.15857,0.95061,0.57371,0.50113,0.70986,0.71007,0.60834,0.49123,0.48396,0.43557,0.46824,0.32449,0.1603,0.18399,0.12824,0.12937,0.1242,0.12681,0.15849,0.21364,0.26662,0.25516,0.26104,0.24303,0.16259,0.25064,0.26167,0.28825,0.29222,0.31153,0.32963,0.35237,0.38602,0.42188,0.376388989,0.330897978,0.346103611,0.361309243,0.376514876,0.391720508,0.406926141,0.422131773,0.437337406,0.458871717,0.480406028,0.501940339,0.523474651,0.545008962,0.566543273,0.588077584,0.609611896,0.631146207,0.652680518,0.674214829,0.695749141,0.717283452,0.738817763,0.760352074,0.781886386,0.803420697,0.824955008,0.84648932
364,Islamic Republic of Iran,0.28892,0.33598,0.35457,0.38784,0.41016,0.48288,0.4766,0.44095,0.40954,0.35536,0.33689,0.38054,0.42851,0.42177,0.43048,0.391,0.38551,0.36123,0.38355,0.43604,0.49096,0.51183,0.50377,0.502,0.51532,0.55191,0.57059,0.58623,0.59756,0.6283,0.65135,0.70031,0.75013,0.78827,0.82471,0.87332,0.94166,0.94712,0.98444,1.04242,1.07369,1.05329,0.939714512,0.826139024,0.864102285,0.902065546,0.940028808,0.977992069,1.01595533,1.053918592,1.091881853,1.145645659,1.199409466,1.253173272,1.306937079,1.360700885,1.414464692,1.468228499,1.521992305,1.575756112,1.629519918,1.683283725,1.737047531,1.790811338,1.844575144,1.898338951,1.952102757,2.005866564,2.05963037,2.113394177
400,Jordan,0.00804,0.0085,0.00794,0.00794,0.00787,0.00979,0.01043,0.01261,0.01377,0.01638,0.01715,0.01842,0.01879,0.02041,0.02112,0.0226,0.02325,0.02282,0.01975,0.01994,0.02031,0.0241,0.02521,0.02647,0.02811,0.02869,0.02964,0.03053,0.03157,0.0329,0.03464,0.03664,0.03817,0.04144,0.04481,0.04845,0.05241,0.0562,0.05928,0.06065,0.06222,0.06387,0.056982945,0.050095889,0.052397927,0.054699965,0.057002003,0.059304041,0.061606079,0.063908117,0.066210155,0.069470315,0.072730476,0.075990636,0.079250796,0.082510957,0.085771117,0.089031277,0.092291438,0.095551598,0.098811759,0.102071919,0.105332079,0.10859224,0.1118524,0.11511256,0.118372721,0.121632881,0.124893042,0.128153202
414,Kuwait,0.11616,0.12127,0.11544,0.10441,0.09606,0.1048,0.10469,0.11239,0.12803,0.10164,0.0823,0.07216,0.07968,0.08385,0.08028,0.08716,0.09425,0.08478,0.10674,0.09231,0.05442,0.08209,0.11,0.11928,0.12507,0.12583,0.12894,0.13366,0.13127,0.13744,0.13844,0.14259,0.16729,0.18529,0.20396,0.2193,0.23244,0.2382,0.22135,0.2161,0.22972,0.24393,0.217627207,0.191324414,0.200116274,0.208908134,0.217699994,0.226491854,0.235283715,0.244075575,0.252867435,0.265318522,0.277769609,0.290220695,0.302671782,0.315122869,0.327573956,0.340025043,0.35247613,0.364927217,0.377378304,0.389829391,0.402280478,0.414731565,0.427182651,0.439633738,0.452084825,0.464535912,0.476986999,0.489438086
422,Lebanon,0.02981,0.03344,0.03501,0.03619,0.02923,0.01257,0.02304,0.02234,0.02444,0.02481,0.02494,0.01577,0.01935,0.02795,0.03475,0.03239,0.03781,0.02715,0.01562,0.01977,0.02732,0.02855,0.03055,0.03299,0.03515,0.03695,0.03611,0.0374,0.03724,0.03774,0.03923,0.04055,0.04186,0.04499,0.04544,0.04572,0.04915,0.0537,0.05827,0.06235,0.06422,0.06512,0.058098158,0.051076316,0.053423407,0.055770499,0.05811759,0.060464681,0.062811772,0.065158863,0.067505954,0.070829919,0.074153884,0.077477849,0.080801814,0.084125779,0.087449744,0.090773709,0.094097674,0.097421639,0.100745604,0.104069569,0.107393534,0.110717499,0.114041464,0.117365429,0.120689394,0.124013359,0.127337324,0.130661289
512,Oman,0.01182,0.01298,0.01113,0.01241,0.01544,0.01861,0.0188,0.0181,0.01889,0.02003,0.02344,0.02615,0.03051,0.03561,0.0406,0.04141,0.03998,0.04237,0.04735,0.04729,0.05016,0.05438,0.05767,0.0599,0.0629,0.06481,0.06872,0.07054,0.07045,0.07426,0.07981,0.08186,0.08211,0.0849,0.08829,0.09314,0.09948,0.11221,0.11345,0.1198,0.12519,0.13145,0.117275843,0.103101686,0.107839479,0.112577273,0.117315067,0.122052861,0.126790654,0.131528448,0.136266242,0.142975934,0.149685627,0.15639532,0.163105013,0.169814706,0.176524399,0.183234091,0.189943784,0.196653477,0.20336317,0.210072863,0.216782556,0.223492248,0.230201941,0.236911634,0.243621327,0.25033102,0.257040713,0.263750405
634,Qatar,0.03176,0.03586,0.04231,0.03822,0.03218,0.0372,0.03317,0.03631,0.0378,0.03742,0.03597,0.03301,0.03125,0.03625,0.03153,0.03269,0.03299,0.03454,0.03637,0.03104,0.03025,0.03272,0.03257,0.0332,0.03441,0.03703,0.04756,0.05186,0.05471,0.0607,0.06272,0.06719,0.06954,0.0829,0.08911,0.11243,0.13265,0.15608,0.17475,0.20398,0.23278,0.24721,0.220553527,0.193897054,0.202807134,0.211717213,0.220627293,0.229537373,0.238447452,0.247357532,0.256267612,0.268886122,0.281504632,0.294123142,0.306741653,0.319360163,0.331978673,0.344597183,0.357215693,0.369834204,0.382452714,0.395071224,0.407689734,0.420308244,0.432926755,0.445545265,0.458163775,0.470782285,0.483400795,0.496019306
682,Saudi Arabia,0.18672,0.23058,0.28965,0.36929,0.38859,0.43801,0.46869,0.46412,0.50973,0.54296,0.56843,0.50534,0.46382,0.4495,0.43006,0.45195,0.43395,0.46963,0.46993,0.50906,0.55541,0.58112,0.58127,0.58514,0.58631,0.60615,0.62187,0.63949,0.63471,0.66558,0.66923,0.67008,0.72562,0.78817,0.84536,0.8925,0.94598,1.0257,1.04446,1.12211,1.21828,1.28072,1.142620902,1.004521804,1.050682223,1.096842642,1.143003061,1.189163481,1.2353239,1.281484319,1.327644738,1.393017411,1.458390084,1.523762756,1.589135429,1.654508101,1.719880774,1.785253446,1.850626119,1.915998792,1.981371464,2.046744137,2.112116809,2.177489482,2.242862155,2.308234827,2.3736075,2.438980172,2.504352845,2.569725517
