numcode,country,Population1971,Population1972,Population1973,Population1974,Population1975,Population1976,Population1977,Population1978,Population1979,Population1980,Population1981,Population1982,Population1983,Population1984,Population1985,Population1986,Population1987,Population1988,Population1989,Population1990,Population1991,Population1992,Population1993,Population1994,Population1995,Population1996,Population1997,Population1998,Population1999,Population2000,Population2001,Population2002,Population2003,Population2004,Population2005,Population2006,Population2007,Population2008,Population2009,Population2010,Population2011,Population2012,Population2013,Population2014,Population2015,Population2016,Population2017,Population2018,Population2019,Population2020,Population2021,Population2022,Population2023,Population2024,Population2025,Population2026,Population2027,Population2028,Population2029,Population2030,Population2031,Population2032,Population2033,Population2034,Population2035,Population2036,Population2037,Population2038,Population2039,Population2040
300,Greece,8.98,9.04,9.08,9.12,9.2,9.33,9.47,9.59,9.71,9.81,9.9,9.96,10.02,10.07,10.11,10.14,10.17,10.21,10.26,10.34,10.42,10.5,10.56,10.61,10.63,10.71,10.78,10.84,10.88,10.92,10.95,10.99,11.02,11.06,11.09,11.13,11.16,11.19,11.19,11.15,11.12,11.09,11.11677066,11.14354133,11.17031199,11.19708266,11.22385332,11.25062399,11.27739465,11.30416532,11.33093598,11.35770665,11.38447731,11.41124798,11.43801864,11.46478931,11.49155997,11.51833064,11.5451013,11.57187197,11.59864263,11.6254133,11.65218396,11.67895463,11.70572529,11.73249596,11.75926662,11.78603729,11.81280795,11.83957862
348,Hungary,10.37,10.39,10.43,10.47,10.53,10.59,10.64,10.67,10.7,10.71,10.7,10.68,10.66,10.62,10.58,10.53,10.49,10.44,10.4,10.37,10.35,10.32,10.29,10.26,10.33,10.31,10.29,10.27,10.24,10.21,10.19,10.16,10.13,10.11,10.09,10.07,10.06,10.04,10.02,10,9.97,9.92,9.943946348,9.967892696,9.991839043,10.01578539,10.03973174,10.06367809,10.08762443,10.11157078,10.13551713,10.15946348,10.18340983,10.20735617,10.23130252,10.25524887,10.27919522,10.30314156,10.32708791,10.35103426,10.37498061,10.39892696,10.4228733,10.44681965,10.470766,10.49471235,10.51865869,10.54260504,10.56655139,10.59049774
352,Iceland,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.3,0.31,0.32,0.32,0.32,0.32,0.32,0.320772463,0.321544926,0.322317388,0.323089851,0.323862314,0.324634777,0.32540724,0.326179703,0.326952165,0.327724628,0.328497091,0.329269554,0.330042017,0.33081448,0.331586942,0.332359405,0.333131868,0.333904331,0.334676794,0.335449257,0.336221719,0.336994182,0.337766645,0.338539108,0.339311571,0.340084034,0.340856496,0.341628959
372,Ireland,2.98,3.02,3.07,3.12,3.18,3.23,3.27,3.31,3.37,3.4,3.44,3.48,3.51,3.53,3.54,3.54,3.54,3.53,3.51,3.51,3.53,3.56,3.57,3.59,3.6,3.63,3.66,3.71,3.76,3.8,3.86,3.93,4,4.07,4.16,4.27,4.4,4.5,4.54,4.56,4.58,4.59,4.601080014,4.612160027,4.623240041,4.634320055,4.645400069,4.656480082,4.667560096,4.67864011,4.689720124,4.700800137,4.711880151,4.722960165,4.734040179,4.745120192,4.756200206,4.76728022,4.778360234,4.789440247,4.800520261,4.811600275,4.822680288,4.833760302,4.844840316,4.85592033,4.867000343,4.878080357,4.889160371,4.900240385
376,Israel,3.05,3.23,3.28,3.38,3.46,3.53,3.61,3.69,3.79,3.88,3.95,4.02,4.11,4.16,4.23,4.3,4.37,4.44,4.52,4.66,4.95,5.12,5.26,5.4,5.55,5.69,5.83,5.98,6.14,6.3,6.45,6.59,6.71,6.83,6.96,7.09,7.22,7.35,7.48,7.62,7.76,7.91,7.929094316,7.948188631,7.967282947,7.986377262,8.005471578,8.024565894,8.043660209,8.062754525,8.08184884,8.100943156,8.120037472,8.139131787,8.158226103,8.177320419,8.196414734,8.21550905,8.234603365,8.253697681,8.272791997,8.291886312,8.310980628,8.330074943,8.349169259,8.368263575,8.38735789,8.406452206,8.425546521,8.444640837
380,Italy,54.07,54.38,54.75,55.11,55.44,55.72,55.96,56.16,56.32,56.43,56.51,56.54,56.56,56.58,56.59,56.6,56.6,56.63,56.67,56.72,56.78,56.8,56.83,56.84,56.84,56.86,56.89,56.91,56.92,56.94,56.98,57.16,57.61,58.18,58.61,58.94,59.38,59.83,60.19,60.48,60.72,60.91,61.05703347,61.20406694,61.35110042,61.49813389,61.64516736,61.79220083,61.9392343,62.08626778,62.23330125,62.38033472,62.52736819,62.67440166,62.82143514,62.96846861,63.11550208,63.26253555,63.40956902,63.5566025,63.70363597,63.85066944,63.99770291,64.14473638,64.29176986,64.43880333,64.5858368,64.73287027,64.87990375,65.02693722
442,Luxembourg,0.34,0.35,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.4,0.4,0.41,0.42,0.42,0.43,0.43,0.44,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.531279392,0.532558783,0.533838175,0.535117566,0.536396958,0.537676349,0.538955741,0.540235133,0.541514524,0.542793916,0.544073307,0.545352699,0.54663209,0.547911482,0.549190873,0.550470265,0.551749657,0.553029048,0.55430844,0.555587831,0.556867223,0.558146614,0.559426006,0.560705398,0.561984789,0.563264181,0.564543572,0.565822964
528,Netherlands and Netherlands Antilles,13.35,13.49,13.61,13.71,13.83,13.94,14.03,14.11,14.2,14.32,14.42,14.49,14.55,14.6,14.67,14.75,14.85,14.95,15.04,15.14,15.26,15.37,15.48,15.58,15.66,15.73,15.81,15.91,16.02,16.13,16.25,16.36,16.44,16.5,16.54,16.56,16.6,16.67,16.76,16.84,16.92,16.98,17.02098881,17.06197762,17.10296643,17.14395524,17.18494404,17.22593285,17.26692166,17.30791047,17.34889928,17.38988809,17.4308769,17.47186571,17.51285452,17.55384333,17.59483213,17.63582094,17.67680975,17.71779856,17.75878737,17.79977618,17.84076499,17.8817538,17.92274261,17.96373142,18.00472022,18.04570903,18.08669784,18.12768665
578,Norway,3.9,3.93,3.96,3.99,4.01,4.03,4.04,4.06,4.07,4.09,4.1,4.12,4.13,4.14,4.15,4.17,4.19,4.21,4.23,4.24,4.26,4.29,4.31,4.34,4.36,4.38,4.41,4.43,4.46,4.49,4.51,4.54,4.57,4.59,4.62,4.66,4.71,4.77,4.83,4.89,4.95,5.02,5.032118011,5.044236021,5.056354032,5.068472043,5.080590053,5.092708064,5.104826075,5.116944085,5.129062096,5.141180107,5.153298117,5.165416128,5.177534139,5.189652149,5.20177016,5.213888171,5.226006181,5.238124192,5.250242203,5.262360213,5.274478224,5.286596235,5.298714245,5.310832256,5.322950267,5.335068277,5.347186288,5.359304299
616,Poland,32.8,33.07,33.37,33.69,34.02,34.36,34.7,35.01,35.26,35.58,35.9,36.23,36.57,36.91,37.2,37.46,37.66,37.86,37.94,38.03,38.11,38.17,38.22,38.25,38.28,38.29,38.29,38.28,38.27,38.26,38.25,38.23,38.21,38.18,38.17,38.14,38.12,38.13,38.15,38.51,38.53,38.54,38.63303349,38.72606698,38.81910048,38.91213397,39.00516746,39.09820095,39.19123445,39.28426794,39.37730143,39.47033492,39.56336841,39.65640191,39.7494354,39.84246889,39.93550238,40.02853588,40.12156937,40.21460286,40.30763635,40.40066984,40.49370334,40.58673683,40.67977032,40.77280381,40.86583731,40.9588708,41.05190429,41.14493778
620,Portugal,8.73,8.72,8.72,8.84,9.18,9.45,9.55,9.65,9.76,9.86,9.95,10.01,10.05,10.09,10.11,10.11,10.09,10.07,10.03,10,9.97,9.96,9.97,10,10.03,10.06,10.09,10.13,10.17,10.23,10.29,10.37,10.44,10.5,10.55,10.58,10.61,10.62,10.63,10.64,10.62,10.58,10.60553955,10.6310791,10.65661866,10.68215821,10.70769776,10.73323731,10.75877687,10.78431642,10.80985597,10.83539552,10.86093508,10.88647463,10.91201418,10.93755373,10.96309329,10.98863284,11.01417239,11.03971194,11.06525149,11.09079105,11.1163306,11.14187015,11.1674097,11.19294926,11.21848881,11.24402836,11.26956791,11.29510747
703,Slovak Republic,4.56,4.6,4.64,4.69,4.74,4.79,4.84,4.89,4.94,4.98,5.02,5.05,5.09,5.13,5.16,5.19,5.22,5.25,5.28,5.3,5.28,5.31,5.33,5.35,5.36,5.37,5.38,5.39,5.4,5.4,5.38,5.38,5.38,5.38,5.39,5.39,5.4,5.41,5.42,5.43,5.4,5.41,5.42305945,5.436118899,5.449178349,5.462237799,5.475297249,5.488356698,5.501416148,5.514475598,5.527535048,5.540594497,5.553653947,5.566713397,5.579772847,5.592832296,5.605891746,5.618951196,5.632010646,5.645070095,5.658129545,5.671188995,5.684248445,5.697307894,5.710367344,5.723426794,5.736486244,5.749545693,5.762605143,5.775664593
705,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,1.99,2,2,2,2,2,1.99,1.99,1.99,1.99,1.99,1.98,1.98,1.99,1.99,2,2,2,2,2.01,2.02,2.02,2.04,2.05,2.05,2.06,2.064972729,2.069945459,2.074918188,2.079890918,2.084863647,2.089836377,2.094809106,2.099781836,2.104754565,2.109727295,2.114700024,2.119672754,2.124645483,2.129618213,2.134590942,2.139563672,2.144536401,2.149509131,2.15448186,2.15945459,2.164427319,2.169400048,2.174372778,2.179345507,2.184318237,2.189290966,2.194263696,2.199236425
724,Spain,34.33,34.64,34.96,35.3,35.66,36.09,36.52,36.93,37.26,37.67,37.9,38.1,38.28,38.44,38.58,38.7,38.8,38.88,38.96,39.01,39.08,39.18,39.26,39.33,39.39,39.48,39.58,39.72,39.93,40.26,40.72,41.31,42.01,42.69,43.4,44.07,44.87,45.59,45.93,46.07,46.13,46.16,46.27142776,46.38285553,46.49428329,46.60571105,46.71713882,46.82856658,46.93999434,47.05142211,47.16284987,47.27427763,47.3857054,47.49713316,47.60856092,47.71998869,47.83141645,47.94284421,48.05427198,48.16569974,48.2771275,48.38855527,48.49998303,48.6114108,48.72283856,48.83426632,48.94569409,49.05712185,49.16854961,49.27997738
752,Sweden,8.1,8.12,8.14,8.16,8.19,8.22,8.25,8.28,8.29,8.31,8.32,8.33,8.33,8.34,8.35,8.37,8.4,8.44,8.49,8.56,8.62,8.67,8.72,8.78,8.83,8.84,8.85,8.85,8.86,8.87,8.9,8.93,8.96,8.99,9.03,9.08,9.15,9.22,9.3,9.38,9.45,9.52,9.542980769,9.565961538,9.588942308,9.611923077,9.634903846,9.657884615,9.680865385,9.703846154,9.726826923,9.749807692,9.772788462,9.795769231,9.81875,9.841730769,9.864711538,9.887692308,9.910673077,9.933653846,9.956634615,9.979615385,10.00259615,10.02557692,10.04855769,10.07153846,10.09451923,10.1175,10.14048077,10.16346154
756,Switzerland,6.34,6.4,6.44,6.46,6.4,6.33,6.32,6.33,6.35,6.39,6.43,6.47,6.48,6.51,6.53,6.57,6.62,6.67,6.72,6.8,6.88,6.94,6.99,7.04,7.08,7.11,7.11,7.13,7.17,7.21,7.29,7.34,7.41,7.45,7.5,7.56,7.62,7.71,7.8,7.79,7.87,7.93,7.949142595,7.968285189,7.987427784,8.006570378,8.025712973,8.044855567,8.063998162,8.083140756,8.102283351,8.121425945,8.14056854,8.159711134,8.178853729,8.197996324,8.217138918,8.236281513,8.255424107,8.274566702,8.293709296,8.312851891,8.331994485,8.35113708,8.370279674,8.389422269,8.408564863,8.427707458,8.446850053,8.465992647
792,Turkey,36.22,37.13,38.07,39.04,40.08,40.92,41.77,42.64,43.53,44.44,45.54,46.69,47.86,49.07,50.31,51.48,52.37,53.27,54.19,55.12,56.06,56.99,57.91,58.84,59.76,60.67,61.58,62.46,63.36,64.25,65.13,66.01,66.87,67.72,68.57,69.4,70.22,71.1,72.05,73,73.95,74.9,75.08080458,75.26160916,75.44241374,75.62321833,75.80402291,75.98482749,76.16563207,76.34643665,76.52724123,76.70804581,76.8888504,77.06965498,77.25045956,77.43126414,77.61206872,77.7928733,77.97367788,78.15448247,78.33528705,78.51609163,78.69689621,78.87770079,79.05850537,79.23930995,79.42011454,79.60091912,79.7817237,79.96252828
826,United Kingdom,55.93,56.1,56.22,56.24,56.23,56.22,56.19,56.18,56.24,56.33,56.36,56.29,56.32,56.41,56.55,56.68,56.8,56.92,57.08,57.24,57.44,57.59,57.71,57.86,58.03,58.16,58.31,58.48,58.68,58.89,59.11,59.32,59.55,59.84,60.24,60.58,60.99,61.4,61.79,62.26,62.74,63.71,63.86379252,64.01758504,64.17137757,64.32517009,64.47896261,64.63275513,64.78654765,64.94034017,65.0941327,65.24792522,65.40171774,65.55551026,65.70930278,65.86309531,66.01688783,66.17068035,66.32447287,66.47826539,66.63205791,66.78585044,66.93964296,67.09343548,67.247228,67.40102052,67.55481305,67.70860557,67.86239809,68.01619061
